text,sentimen
Pelayanan desa sangat memuaskan.,positif
Keluhan saya tidak ditangani dengan baik.,negatif
Respon terhadap keluhan cepat dan efektif. ,positif
Petugas desa tidak ramah. ,negatif
Pengurusan dokumen sangat mudah. ,positif
Layanan online sering bermasalah. ,negatif
Petugas desa sangat membantu. ,positif
Keluhan saya diabaikan. ,negatif
Pelayanan sangat cepat dan efisien. ,positif
Tidak ada tindak lanjut setelah mengajukan keluhan. ,negatif
Proses pengajuan keluhan sangat mudah. ,positif
Pelayanan sangat lambat. ,negatif
Saya puas dengan pelayanan desa. ,positif
Tidak ada perubahan setelah mengajukan keluhan. ,negatif
Petugas desa sopan dan profesional. ,positif
Sistem antrian tidak jelas. ,negatif
Layanan desa sangat responsif. ,positif
Petugas desa kurang tanggap. ,negatif
Informasi yang diberikan sangat membantu. ,positif
Pengaduan saya tidak ditanggapi. ,negatif
Pelayanan di desa ini sangat memuaskan selalu cepat tanggap. ,positif
Aparat desa selalu profesional dan ramah saat menangani laporan warga. ,positif
Saya merasa didengar setiap laporan saya cepat direspon. ,positif
Pengurus desa selalu siap membantu dengan solusi yang tepat. ,positif
Kepala desa sangat perhatian dan tanggap terhadap masalah kami. ,positif
Pengalaman melaporkan masalah di desa ini sangat mudah dan cepat. ,positif
Setiap kali saya melapor selalu ada tindak lanjut yang jelas. ,positif
Pelayanan desa sangat cepat dan efisien tak perlu menunggu lama. ,positif
Aparat desa sangat kooperatif dan responsif terhadap semua laporan. ,positif
Laporan saya selalu ditangani dengan baik dan tuntas. ,positif
Saya senang karena setiap keluhan saya direspon dengan cepat. ,positif
Tidak perlu menunggu lama laporan saya segera ditindaklanjuti. ,positif
Pelayanan di desa ini membuat saya merasa dihargai. ,positif
Setiap laporan saya selalu mendapat perhatian serius dari aparat desa. ,positif
Saya sangat puas dengan kecepatan tanggapan dari desa. ,positif
Semua laporan saya ditangani dengan sangat baik. ,positif
Aparat desa bekerja dengan cepat dan tepat dalam menangani laporan. ,positif
Saya merasa nyaman melapor karena pelayanan desa sangat baik. ,positif
Tanggapannya selalu cepat dan solusinya memuaskan. ,positif
Pelayanan yang diberikan desa ini sangat memuaskan. ,positif
Setiap kali saya melapor masalah saya segera diatasi. ,positif
Pelayanan desa sangat ramah dan efisien. ,positif
Laporan saya selalu direspon dengan cepat dan tepat. ,positif
Pelayanan desa sangat responsif terhadap semua keluhan saya. ,positif
Saya merasa aman melapor karena desa selalu menanggapi dengan baik. ,positif
Pelayanan di desa ini sangat lambat butuh waktu lama untuk ditindaklanjuti. ,negatif
Aparat desa kurang responsif laporan saya sering diabaikan. ,negatif
Setiap kali melapor tindak lanjutnya sangat lambat. ,negatif
Saya kecewa karena laporan saya tidak segera ditangani. ,negatif
Kepala desa kurang perhatian terhadap laporan warga. ,negatif
Laporan saya sering tidak mendapatkan tanggapan yang memadai. ,negatif
Pelayanan desa sangat mengecewakan tidak ada tindak lanjut yang jelas. ,negatif
Setiap kali melapor saya harus menunggu lama tanpa kepastian. ,negatif
Aparat desa kurang kooperatif dan tidak responsif terhadap laporan. ,negatif
Laporan saya sering tidak ditangani dengan baik. ,negatif
Saya merasa diabaikan karena keluhan saya tidak direspon dengan cepat. ,negatif
Laporan saya sering tidak segera ditindaklanjuti. ,negatif
Pelayanan desa sangat lambat dan tidak efisien. ,negatif
Setiap laporan saya tidak mendapat perhatian serius dari aparat desa. ,negatif
Saya sangat kecewa dengan kecepatan tanggapan dari desa. ,negatif
Laporan saya sering ditangani dengan buruk. ,negatif
Aparat desa bekerja sangat lambat dalam menangani laporan. ,negatif
Saya merasa tidak nyaman melapor karena pelayanan desa sangat buruk. ,negatif
Tanggapannya sangat lambat dan solusinya tidak memuaskan. ,negatif
Pelayanan yang diberikan desa ini sangat mengecewakan. ,negatif
Setiap kali melapor masalah saya tidak segera diatasi. ,negatif
Pelayanan desa sangat tidak ramah dan tidak efisien. ,negatif
Laporan saya sering tidak direspon dengan cepat dan tepat. ,negatif
Pelayanan desa sangat tidak responsif terhadap semua keluhan saya. ,negatif
Saya merasa tidak aman melapor karena desa selalu menanggapi dengan buruk. ,negatif
Keluhan saya tidak ditangani dengan baik. ,negatif
Respon terhadap keluhan cepat dan efektif. ,positif
Petugas desa tidak ramah. ,negatif
Pengurusan dokumen sangat mudah. ,positif
Layanan online sering bermasalah. ,negatif
Petugas desa sangat membantu. ,positif
Keluhan saya diabaikan. ,negatif
Pelayanan sangat cepat dan efisien. ,positif
Tidak ada tindak lanjut setelah mengajukan keluhan. ,negatif
Proses pengajuan keluhan sangat mudah. ,positif
Pelayanan sangat lambat. ,negatif
Saya puas dengan pelayanan desa. ,positif
Tidak ada perubahan setelah mengajukan keluhan. ,negatif
Petugas desa sopan dan profesional. ,positif
Sistem antrian tidak jelas. ,negatif
Layanan desa sangat responsif. ,positif
Petugas desa kurang tanggap. ,negatif
Informasi yang diberikan sangat membantu. ,positif
Pengaduan saya tidak ditanggapi. ,negatif
Pelayanan desa sangat memuaskan. ,positif
Keluhan saya tidak ditangani dengan baik. ,negatif
Respon terhadap keluhan cepat dan efektif. ,positif
Petugas desa tidak ramah. ,negatif
Pengurusan dokumen sangat mudah. ,positif
Layanan online sering bermasalah. ,negatif
Petugas desa sangat membantu. ,positif
Keluhan saya diabaikan. ,negatif
Pelayanan sangat cepat dan efisien. ,positif
Tidak ada tindak lanjut setelah mengajukan keluhan. ,negatif
Proses pengajuan keluhan sangat mudah. ,positif
Pelayanan sangat lambat. ,negatif
Saya puas dengan pelayanan desa. ,positif
Tidak ada perubahan setelah mengajukan keluhan. ,negatif
Petugas desa sopan dan profesional. ,positif
Sistem antrian tidak jelas. ,negatif
Layanan desa sangat responsif. ,positif
Petugas desa kurang tanggap. ,negatif
Informasi yang diberikan sangat membantu. ,positif
Pengaduan saya tidak ditanggapi. ,negatif
Pelayanan desa sangat memuaskan. ,positif
Pelayanan di desa ini sangat memuaskan selalu cepat tanggap. ,positif
Aparat desa selalu profesional dan ramah saat menangani laporan warga. ,positif
Saya merasa didengar setiap laporan saya cepat direspon. ,positif
Pengurus desa selalu siap membantu dengan solusi yang tepat. ,positif
Kepala desa sangat perhatian dan tanggap terhadap masalah kami. ,positif
Pengalaman melaporkan masalah di desa ini sangat mudah dan cepat. ,positif
Setiap kali saya melapor selalu ada tindak lanjut yang jelas. ,positif
Pelayanan desa sangat cepat dan efisien tak perlu menunggu lama. ,positif
Aparat desa sangat kooperatif dan responsif terhadap semua laporan. ,positif
Laporan saya selalu ditangani dengan baik dan tuntas. ,positif
Saya senang karena setiap keluhan saya direspon dengan cepat. ,positif
Tidak perlu menunggu lama laporan saya segera ditindaklanjuti. ,positif
Pelayanan di desa ini membuat saya merasa dihargai. ,positif
